tau,threshold_rate,algorithm,runtime_seconds,mup_count
5,0.0001535579374,PATTERN-BREAKER,35.55155640,13848
5,0.0001535579374,PATTERN-COMBINER,5.216320800,13848
5,0.0001535579374,DEEPDIVER,71.01913300,13848
10,0.0003071158748,PATTERN-BREAKER,25.76906050,10658
10,0.0003071158748,PATTERN-COMBINER,4.681779200,10658
10,0.0003071158748,DEEPDIVER,41.20673320,10658
25,0.0007677896870,PATTERN-BREAKER,15.60433500,6564
25,0.0007677896870,PATTERN-COMBINER,4.711959300,6564
25,0.0007677896870,DEEPDIVER,20.65063720,6564
50,0.001535579374,PATTERN-BREAKER,10.31514190,4547
50,0.001535579374,PATTERN-COMBINER,4.564848800,4547
50,0.001535579374,DEEPDIVER,13.02755160,4547
100,0.003071158748,PATTERN-BREAKER,6.597321700,3008
100,0.003071158748,PATTERN-COMBINER,4.726090400,3008
100,0.003071158748,DEEPDIVER,7.727691800,3008
250,0.007677896870,PATTERN-BREAKER,3.373273000,1700
250,0.007677896870,PATTERN-COMBINER,4.683847500,1700
250,0.007677896870,DEEPDIVER,3.839760800,1700
500,0.01535579374,PATTERN-BREAKER,2.073403000,1037
500,0.01535579374,PATTERN-COMBINER,4.750315800,1037
500,0.01535579374,DEEPDIVER,2.257634200,1037
